pop,month,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
SAG,Dec,4.79798,3.03347,4.31268,3.91477,4.62121,3.83083,5.17121,0.873881,4.83823,5.12199,3.77684,4.26711,4.22553,3.90656,2.96429,3.23791,2.8389,5.79783,5.64723,2.52515,6.03562
YAM,Jan,1.25414,0.946529,2.25121,0.518528,2.08953,0.186232,-0.191395,0.566139,0.719137,0.995719,1.03646,0.465649,0.501055,-1.54479,0.123212,-0.287135,0.390732,1.39543,0.853976,0.759304,-0.230454
YAM,Feb,2.69073,0.770429,-0.111619,1.32371,1.27439,1.36162,1.58908,0.368581,1.62651,2.65823,-0.328641,2.92727,3.07688,1.20885,-0.0591136,0.932485,1.00309,1.14814,1.28623,0.91054,-0.999044
YAM,Mar,4.0661,5.19694,3.27866,3.98722,5.15577,2.93339,3.44012,2.97425,2.97022,3.7219,3.64016,4.14974,4.27769,1.67623,3.78078,4.53513,4.32284,3.75365,4.32023,2.66374,4.32756
YAM,Apr,11.7558,8.78884,7.86292,8.00169,10.4466,9.866,8.3761,8.80746,7.69537,7.41455,8.38235,8.00825,7.62342,6.88364,8.99816,6.89187,7.40374,9.90216,10.1892,9.14794,9.28851
YAM,May,15.2701,12.6421,12.6678,14.1555,13.7054,13.6771,14.4758,12.2081,13.726,13.2453,12.8988,13.014,12.3307,14.1289,13.3561,12.5784,12.3514,13.6965,14.1048,13.7643,13.9162
YAM,Jun,17.9366,17.8349,17.3652,18.2759,17.4208,17.9629,17.889,18.7196,17.6865,18.2266,17.4879,17.6655,18.2229,19.0568,18.0598,18.651,17.8622,17.5065,18.5957,16.2698,17.8062
YAM,Jul,22.5643,20.9562,22.6568,22.5864,23.063,20.3848,23.1674,22.2047,22.388,21.0944,23.0946,21.6241,22.8013,22.7929,22.6207,23.0031,21.7555,21.7239,22.5664,23.6599,23.2535
YAM,Aug,23.3759,22.9741,22.9044,22.677,22.7551,22.1621,23.0928,23.0006,23.6352,23.6894,22.5821,21.9683,24.938,23.3056,23.8013,23.9119,22.5011,21.7043,22.7788,23.3062,23.8556
YAM,Sep,19.9548,21.5362,18.6342,18.0068,18.4627,19.5013,20.1841,20.5105,17.661,21.5614,19.7486,18.0705,20.6831,19.5055,19.5916,18.8093,17.9728,17.5512,20.353,18.0337,19.0747
YAM,Oct,15.2435,13.2258,13.7809,13.3543,12.0683,11.2093,12.6113,13.9759,13.9905,14.0502,13.4463,12.4555,13.7292,13.1501,12.0668,14.356,12.7498,11.2054,15.3491,14.015,12.473
YAM,Nov,7.86013,7.8702,8.67164,6.50967,4.80865,10.5099,8.5227,7.47978,8.68188,7.15962,7.17565,8.07777,6.41769,10.0716,6.65944,7.04669,7.99805,10.033,8.1046,7.06202,6.95602
YAM,Dec,4.02531,2.31241,3.15612,2.06552,3.50612,3.32145,3.92354,0.163589,3.31985,3.79879,2.99494,2.99688,2.89717,2.65523,1.51094,1.86761,1.486,4.14537,4.17283,1.358,4.34827
KYO,Jan,1.35134,1.00045,2.36826,0.263245,1.80476,0.0742487,0.557304,0.792998,0.356342,1.60755,1.1348,1.16856,0.840518,-0.984961,0.761693,0.0417057,0.702463,1.72297,1.30256,1.09374,0.396582
KYO,Feb,2.53868,0.393765,-0.134719,0.916774,1.57783,1.48537,1.18536,1.08178,1.57938,2.43904,-0.0983547,2.60983,2.77736,1.46564,0.124624,0.839245,1.48309,1.72878,1.98775,1.10938,-0.436581
KYO,Mar,4.54512,5.34115,2.31884,3.72602,4.76745,2.79476,3.84544,2.89775,3.01019,3.60904,4.61984,4.00794,4.42287,2.06087,3.72682,4.39911,4.3885,4.30812,4.52865,3.10366,5.25671
KYO,Apr,12.0263,9.14589,7.9005,8.37664,10.5117,10.0458,9.04393,9.10938,7.68479,7.90316,8.87308,8.32906,7.77415,6.91007,8.65709,7.42814,7.90611,10.3853,10.7244,9.46368,10.4298
