POP,MONTH,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
NEW,Nov,3.15093,4.50125,2.45587,4.41608,2.27271,4.91754,3.65129,2.86888,6.31823,2.1257,2.60403,5.21573,2.7139,3.99122,0.526171,1.07645,1.27676,4.97114,3.35027,1.59848,1.90626
NEW,Dec,0.406256,-0.530405,-5.37463,0.977668,-2.50151,-1.80656,-1.79051,-3.48025,0.819769,-1.26416,-2.30771,-2.66317,-4.33075,-0.144923,0.494017,-2.11025,0.760487,4.55545,-1.73727,-2.91776,-0.282073
MAN,Jan,1.34398,-1.92559,-3.04349,-3.84854,-1.04021,-4.79017,-5.69715,-2.18319,0.610132,-0.199775,-2.19006,-5.24248,-3.31392,-4.47207,-1.42828,-1.1528,-6.69601,-4.0828,-4.53998,0.777162,-4.74554
MAN,Feb,1.77813,-0.858474,-0.38269,-1.4979,-1.62726,-3.6923,-2.85985,-1.53265,-2.44314,-5.57805,-1.39043,-2.06995,-4.39189,-1.58839,0.202049,-1.80562,-3.34787,-7.90914,-1.43325,1.30372,1.43681
MAN,Mar,3.36206,1.12311,3.93555,0.294383,2.13077,1.86289,2.84586,0.425544,2.26068,2.16056,2.80847,1.38425,4.12386,2.0829,7.1164,0.361872,-1.40039,-0.148529,4.83945,1.95964,-0.0372226
MAN,Apr,7.58923,6.77143,7.22737,6.81259,8.3055,6.55127,7.90616,7.11323,8.06128,6.17652,8.40877,7.23339,7.86102,8.34586,6.98955,7.5958,6.31072,7.12878,6.47313,10.902,5.66381
MAN,May,14.536,11.6607,13.3158,11.4338,11.1993,12.0572,15.9584,10.1869,11.7549,12.7324,10.5771,13.0197,14.082,14.0597,15.8211,12.3386,13.0756,15.2963,12.4179,12.3358,15.7909
MAN,Jun,17.4852,17.1579,18.0098,17.639,17.4608,16.7718,17.2321,18.2211,17.3455,17.5133,18.0097,17.7958,19.9073,18.6527,17.1041,18.6266,18.2082,19.1785,17.898,17.4871,17.9745
MAN,Jul,19.7795,21.1244,18.0276,17.442,20.6111,20.2048,20.2732,21.5524,21.282,19.0485,19.8393,18.4718,20.9308,21.7755,22.4192,21.8297,19.2856,20.8991,21.7935,20.9543,20.2733
MAN,Aug,19.7501,19.6457,18.6647,20.0571,20.4126,20.8211,18.7253,21.0028,20.3995,20.2903,17.6448,20.4271,20.4567,19.9835,20.7426,18.8306,18.0819,18.8065,21.3182,18.8993,20.8666
MAN,Sep,17.4238,15.5655,14.0031,13.176,15.8803,16.2715,16.098,16.3516,14.4991,15.1135,16.1088,15.3267,15.9606,17.0486,14.7643,13.726,16.1608,16.8609,18.4858,15.831,19.5133
MAN,Oct,8.86491,7.0689,7.98,6.80195,9.50273,7.53968,8.76946,10.5977,7.76047,11.7022,7.27674,8.61077,8.76663,8.64183,9.36925,9.98485,9.64055,7.8857,10.2895,11.4198,11.0819
MAN,Nov,2.56155,5.21906,1.06661,4.15008,2.54057,5.47164,4.3174,3.28046,5.01054,2.97814,2.86395,5.24038,2.87309,4.36728,1.09874,1.32958,1.58852,5.19813,2.9972,3.04329,2.79672
MAN,Dec,1.14639,-0.113889,-5.66133,0.503876,-2.83804,-1.44644,-1.46906,-2.90782,0.203532,0.145732,-0.588931,-2.12493,-3.9084,0.745833,1.64263,-0.18637,0.63089,5.09342,-0.458666,-2.30507,0.675906
JAC,Jan,8.61778,8.20863,6.74958,3.73531,8.35147,3.10369,5.9289,9.42731,9.24431,9.59872,6.52279,6.3911,3.76789,4.70848,7.53492,10.9905,5.19092,7.99137,6.81611,10.4499,5.12295
JAC,Feb,9.20373,9.72046,7.58991,10.7669,8.33484,8.22323,8.15935,8.85173,7.38582,6.92265,8.15674,6.03485,4.34987,9.99586,11.2458,9.43021,9.71044,6.65361,8.20762,11.3779,13.7515
JAC,Mar,9.25756,8.55415,12.4271,10.6629,12.5742,14.3082,11.987,10.629,10.9009,11.7153,10.7144,11.8622,8.51195,12.1569,15.2016,7.45803,10.6109,14.3263,14.4604,11.9776,9.31969
JAC,Apr,14.2834,16.5747,12.1869,13.5539,18.1804,14.4214,13.3005,12.8226,16.6248,13.0658,14.4909,14.614,14.3862,15.8042,16.1451,15.4659,15.8341,18.8551,16.1786,16.1083,14.2964
JAC,May,19.0545,17.2226,18.8199,17.1938,18.8312,20.1353,19.4905,17.8026,18.5721,18.0751,18.836,19.8462,20.7829,18.2392,19.8968,17.8805,19.192,20.3755,18.9344,18.0528,19.1402
JAC,Jun,22.7457,21.7651,21.2806,21.8616,22.0561,22.2664,22.7932,23.2502,22.2165,21.6374,21.7684,23.2971,23.0088,22.1385,22.1351,23.0843,22.5088,23.1149,22.9921,21.912,22.289
JAC,Jul,23.982,24.0641,22.2013,23.3661,22.8229,23.0776,23.3275,24.4587,23.1945,23.2486,22.7471,23.2974,24.2669,23.4196,24.1543,23.1233,23.7768,24.0556,24.3865,23.2928,22.9393
JAC,Aug,23.1386,24.2048,22.2137,22.9874,22.678,23.3692,23.4072,24.8048,23.9193,24.1635,23.4862,23.672,24.8594,24.1628,23.343,23.9579,24.2115,23.9996,24.5221,23.4499,22.9352
JAC,Sep,22.9043,21.4802,22.1147,20.6334,23.3046,21.3959,23.2435,23.028,22.1229,22.671,22.1801,22.9886,22.4698,21.4938,22.6058,22.3784,22.6882,23.1996,22.5749,21.6861,23.189
JAC,Oct,18.5185,17.3413,15.3383,16.1351,19.6715,17.7366,18.5045,18.1309,15.8629,19.951,16.0096,19.2957,15.2985,15.06,18.0403,17.6496,16.8123,18.78,17.9555,18.8359,18.4413
JAC,Nov,15.3853,11.752,9.97516,14.0811,9.99577,13.8145,13.8983,13.3237,9.82113,10.2322,9.2944,12.6634,10.9068,12.511,9.96639,13.5712,9.71621,17.1433,12.9567,12.5668,12.1002
JAC,Dec,11.4252,7.55296,4.55559,11.8574,6.44043,5.64296,7.0509,6.87914,11.7344,9.65113,9.72553,9.75997,1.94062,10.7493,9.6149,11.3559,10.7019,15.8493,11.1982,9.40278,9.55213
FEM,Jan,13.4001,13.1924,10.6495,6.65367,10.5269,5.41151,9.07803,11.3174,10.901,13.9262,12.3587,8.32001,6.35641,9.10082,9.69451,14.0895,9.9496,11.7464,10.612,11.1827,10.5553
FEM,Feb,11.8257,11.8642,11.5832,14.7048,11.5767,11.7025,12.0838,11.2426,9.15209,10.6102,13.9846,9.75702,6.85438,12.2468,14.4815,12.0365,13.4838,9.9261,10.4874,12.7221,17.9922
FEM,Mar,13.3101,11.729,15.4366,13.8199,14.9701,17.209,14.4833,12.8456,12.9423,15.4602,14.6239,13.6739,9.72546,13.6034,16.2843,8.70003,13.5567,16.9121,16.6303,14.2626,11.625
FEM,Apr,16.9756,16.1561,15.0229,16.315,18.0977,15.3978,14.3178,13.5814,17.3482,15.1103,15.4439,15.8052,16.434,17.3117,16.3656,18.5603,16.6381,19.3938,16.5341,18.3118,16.7449
FEM,May,19.3667,18.1595,20.2876,19.4464,20.6104,20.2803,19.7867,19.1892,17.723,20.0271,19.8798,20.0995,21.1164,19.1416,20.3864,18.7675,19.6608,20.5087,19.1022,19.9564,20.7002
FEM,Jun,23.3907,22.4446,22.1474,21.569,21.9469,22.2486,22.2343,22.941,22.2535,21.9485,21.8776,22.579,23.3288,22.0202,22.176,22.9119,21.2983,22.1118,23.1548,23.32,22.7249
FEM,Jul,23.5201,23.2283,22.5342,22.9021,22.65,22.4817,22.4486,24.3514,22.9665,23.0495,22.2375,22.5599,24.276,23.3721,22.5617,22.9761,22.7755,22.6245,23.8682,23.8128,23.54
FEM,Aug,23.7902,23.4172,22.6694,22.4263,22.774,22.6784,23.0802,23.7705,22.627,23.8492,23.3484,23.6477,24.0752,23.8059,22.8192,23.5433,23.3345,23.2808,24.0064,24.1443,24.0291
FEM,Sep,23.9197,22.7038,23.0891,21.6631,23.5828,22.3806,24.3533,22.979,22.0234,23.2479,23.4973,22.7422,23.4254,22.6078,22.2786,22.1591,22.2741,23.1402,23.3631,23.6817,24.0028
FEM,Oct,21.7451,20.8543,18.7418,20.1064,20.184,19.5952,19.8216,20.3942,18.0183,23.2806,19.5355,19.8137,17.5668,18.7383,19.6873,18.8928,18.1571,20.7214,21.359,21.1639,21.7319
FEM,Nov,17.3184,16.5008,13.2497,16.3855,12.8189,17.2219,16.4323,16.4023,14.1563,15.0253,12.2383,15.5548,14.2268,17.3247,12.7493,18.0996,13.1041,20.3576,14.9702,17.6756,16.2953
FEM,Dec,15.0639,12.336,10.8438,14.7143,10.2683,10.022,11.0259,11.0248,17.0919,14.775,13.196,13.5663,4.45072,15.2906,12.5984,15.6459,13.1397,18.9596,15.8598,12.8355,13.0691
FAY,Jan,4.89803,3.73275,0.178546,0.488651,2.30746,-1.26341,-0.634162,2.01859,4.14388,2.63946,0.34747,0.0382241,-1.71736,-2.02513,2.12996,2.23546,-2.9541,-0.314066,0.066678,3.70232,-2.99671
FAY,Feb,5.61996,3.19666,2.98565,3.43157,2.24824,1.50909,1.30481,2.26903,1.13979,0.293898,2.88148,0.913734,-1.28652,2.42163,2.47808,0.965761,1.22006,-2.74932,2.19005,4.81384,6.97932
FAY,Mar,7.31341,3.95116,6.83343,5.16068,7.14775,7.70014,5.87758,3.69835,5.27394,5.47383,5.80975,5.1819,5.02918,4.89759,9.59357,2.07952,2.10676,4.88232,8.76821,4.33023,3.12664
FAY,Apr,11.7717,11.2434,9.70936,10.402,13.1276,10.4725,10.7435,9.19612,10.7421,8.74153,10.415,9.83803,10.0492,11.2619,9.57431,10.2346,9.90148,11.101,9.53039,13.4779,7.55677
FAY,May,17.5568,13.9638,15.9977,14.6657,14.6118,15.82,18.4074,12.6973,13.5976,13.3039,13.2535,15.7984,17.1129,15.1849,16.6218,14.2256,15.8662,15.2457,15.0759,15.8739,18.5404
FAY,Jun,21.6271,18.992,19.8871,20.4725,19.9438,19.8209,20.3713,19.7349,18.9379,18.6361,20.4362,20.0513,21.7487,20.2006,17.2032,19.765,19.3419,20.8886,19.6849,19.2563,20.6588
FAY,Jul,22.7876,22.5376,20.547,20.2511,22.4151,21.8106,21.5397,22.9638,21.5035,20.0363,20.2299,20.1951,21.8462,22.2307,22.5705,22.1016,20.5639,21.7952,22.6716,22.4083,21.1547
FAY,Aug,21.6239,21.644,20.1818,20.7829,21.1604,22.0979,19.1816,22.0724,21.7879,22.0297,20.0659,21.5013,21.692,21.1863,21.0224,20.0175,19.9695,20.1147,22.4323,20.9236,21.3171
FAY,Sep,19.0617,16.8673,17.2783,15.6821,19.3734,17.0418,17.0832,19.4843,16.2579,17.0908,17.9443,16.8671,17.8406,18.013,16.3647,15.974,18.5027,18.7886,19.7234,16.9767,20.9352
FAY,Oct,11.1014,10.7836,9.09662,8.90059,13.9413,10.9611,11.1902,12.6784,9.89611,13.7004,9.07649,11.0708,10.6566,9.14166,10.6883,11.8568,11.0602,11.0953,12.5646,11.8453,11.8618
FAY,Nov,6.91259,7.31417,3.5195,7.09513,5.02239,8.43504,5.56214,5.93959,5.6882,3.65721,3.41948,7.25916,4.28856,5.91565,2.05256,3.4639,2.32781,8.19796,4.91591,3.92402,5.10442
FAY,Dec,5.4158,2.0008,-1.90947,4.74925,0.68502,0.166628,0.841879,0.530687,3.45566,4.06214,3.48532,0.692484,-3.28785,3.15742,4.61562,3.10899,2.69566,9.51806,2.2037,1.54887,3.67575
OAK,Jan,12.6618,12.2579,10.1559,6.90498,11.956,6.11676,9.08165,11.5811,11.576,13.4225,11.8143,9.23253,6.95104,9.0984,10.6139,13.7459,9.1541,10.8363,9.84481,11.5852,8.79336
OAK,Feb,11.1189,12.0355,10.6777,14.5244,11.521,11.8283,11.7044,11.8557,9.6739,10.3697,13.7183,9.79802,7.21543,12.4313,14.7096,12.3136,12.1491,9.41542,10.0266,12.809,16.4476
OAK,Mar,12.1156,11.7325,14.9961,13.6477,15.0209,17.3191,13.9791,12.9609,13.0662,14.5227,14.0399,13.6055,10.8261,13.6995,16.5714,9.26407,13.3951,16.2649,16.0783,13.9932,11.267
