"","pop","interval","CPP_YEAR","gdd400_mean","gdd400_sd","cpp","latitude","country","only_2008"
"63","SEN","y1998-2007","2018",254.1,3.44641520681675,14.0145864430433,38.29,"JP","n"
"64","SEN","y2008-2017","2018",254.6,2.17050941281329,14.0145864430433,38.29,"JP","n"
"65","SHI","y1998-2007","2008",271.3,4.13790070231539,13.1224219644301,34.02,"JP","y"
"66","SHI","y2008-2017","2008",271.1,3.41402336775183,13.1224219644301,34.02,"JP","y"
"67","TAK","y1998-2007","2018",267.6,3.40587727318528,13.6623454360937,35.35,"JP","n"
"68","TAK","y2008-2017","2018",268.2,2.44040069569642,13.6623454360937,35.35,"JP","n"
"69","TAN","y1998-2007","2008",308,4.8762462794426,12.6477931369594,30.72,"JP","y"
"70","TAN","y2008-2017","2008",306.1,5.13051870888531,12.6477931369594,30.72,"JP","y"
"71","TOK","y1998-2007","2008",275.3,2.83039062871384,13.2599462255156,35.63,"JP","y"
"72","TOK","y2008-2017","2008",276,3.01846171271247,13.2599462255156,35.63,"JP","y"
"73","UTS","y1998-2007","2008",250.3,3.43349514181816,13.5887057611562,36.53,"JP","y"
"74","UTS","y2008-2017","2008",249.9,2.76686746259295,13.5887057611562,36.53,"JP","y"
"75","WAV","y1998-2007","2008",273.2,5.55377749324228,13.4348804445957,37.05,"US","n"
"76","WAV","y1998-2007","2018",273.2,5.55377749324228,13.6820816512994,37.05,"US","n"
"77","WAV","y2008-2017","2008",273,5.61743318211757,13.4348804445957,37.05,"US","n"
"78","WAV","y2008-2017","2018",273,5.61743318211757,13.6820816512994,37.05,"US","n"
"79","YAM","y1998-2007","2018",269.2,3.45768066130398,13.5275398729425,34.18,"JP","n"
"80","YAM","y2008-2017","2018",267.9,3.34829973435938,13.5275398729425,34.18,"JP","n"
"81","YAT","y1998-2007","2018",274,4.24264068711928,13.2095678159864,32.65,"JP","n"
"82","YAT","y2008-2017","2018",272.7,4.87738545625511,13.2095678159864,32.65,"JP","n"
"83","ZIO","y1998-2007","2008",285.4,6.36308799946134,13.0484023264296,33.75,"US","n"
"84","ZIO","y1998-2007","2018",285.4,6.36308799946134,13.1679649131277,33.75,"US","n"
"85","ZIO","y2008-2017","2008",286.1,7.6077445920442,13.0484023264296,33.75,"US","n"
"86","ZIO","y2008-2017","2018",286.1,7.6077445920442,13.1679649131277,33.75,"US","n"
